1;1;ESCUDO ALAVÉS;ALAVÉS;ESCUDOS;Nuevos I
2;2;ENTRENADOR ALAVÉS - Mauricio Pellegrino;ALAVÉS;ENTRENADORES;Nuevos I
3;3;ESCUDO ATHLETIC CLUB;ATHLETIC CLUB;ESCUDOS;Nuevos I
4;4;ENTRENADOR ATHLETIC CLUB - Ernesto Valverde;ATHLETIC CLUB;ENTRENADORES;Nuevos I
5;5;ESCUDO ATLÉTICO DE MADRID;ATLÉTICO DE MADRID;ESCUDOS;Nuevos I
6;6;ENTRENADOR ATLÉTICO DE MADRID - Diego Simeone;ATLÉTICO DE MADRID;ENTRENADORES;Nuevos I
7;7;ESCUDO FC BARCELONA;FC BARCELONA;ESCUDOS;Nuevos I
8;8;ENTRENADOR FC BARCELONA - Luis Enrique;FC BARCELONA;ENTRENADORES;Nuevos I
9;9;ESCUDO REAL BETIS;REAL BETIS;ESCUDOS;Nuevos I
10;10;ENTRENADOR REAL BETIS - Gustavo Poyet;REAL BETIS;ENTRENADORES;Nuevos I
11;11;ESCUDO RC CELTA;RC CELTA;ESCUDOS;Nuevos I
12;12;ENTRENADOR RC CELTA - Eduardo Berizzo;RC CELTA;ENTRENADORES;Nuevos I
13;13;ESCUDO DEPORTIVO;DEPORTIVO;ESCUDOS;Nuevos I
14;14;ENTRENADOR DEPORTIVO - Gaizka Garitano;DEPORTIVO;ENTRENADORES;Nuevos I
15;15;ESCUDO EIBAR;SD EIBAR;ESCUDOS;Nuevos I
16;16;ENTRENADOR EIBAR - José Luis Mendilíbar;SD EIBAR;ENTRENADORES;Nuevos I
17;17;ESCUDO RCD ESPANYOL;RCD ESPANYOL;ESCUDOS;Nuevos I
18;18;ENTRENADOR RCD ESPANYOL - Quique Sánchez Flores;RCD ESPANYOL;ENTRENADORES;Nuevos I
19;19;ESCUDO GRANADA;GRANADA CF;ESCUDOS;Nuevos I
20;20;ENTRENADOR GRANADA - Paco Jémez;GRANADA CF;ENTRENADORES;Nuevos I
21;21;ESCUDO UD LAS PALMAS;UD LAS PALMAS;ESCUDOS;Nuevos I
22;22;ENTRENADOR UD LAS PALMAS - Quique Setién;UD LAS PALMAS;ENTRENADORES;Nuevos I
23;23;ESCUDO LEGANÉS;CD LEGANÉS;ESCUDOS;Nuevos I
24;24;ENTRENADOR LEGANÉS - Asier Garitano;CD LEGANÉS;ENTRENADORES;Nuevos I
25;25;ESCUDO REAL MADRID;REAL MADRID;ESCUDOS;Nuevos I
26;26;ENTRENADOR REAL MADRID - Zinedine Zidane;REAL MADRID;ENTRENADORES;Nuevos I
27;27;ESCUDO MÁLAGA;MÁLAGA CF;ESCUDOS;Nuevos I
28;28;ENTRENADOR MÁLAGA - Juande Ramos;MÁLAGA CF;ENTRENADORES;Nuevos I
29;29;ESCUDO OSASUNA;C.AT. OSASUNA;ESCUDOS;Nuevos I
30;30;ENTRENADOR OSASUNA - Enrique Martín;C.AT. OSASUNA;ENTRENADORES;Nuevos I
31;31;ESCUDO REAL SOCIEDAD;REAL SOCIEDAD;ESCUDOS;Nuevos I
32;32;ENTRENADOR REAL SOCIEDAD - Eusebio Sacristán;REAL SOCIEDAD;ENTRENADORES;Nuevos I
33;33;ESCUDO SEVILLA;SEVILLA FC;ESCUDOS;Nuevos I
34;34;ENTRENADOR SEVILLA - Jorge Sampaoli;SEVILLA FC;ENTRENADORES;Nuevos I
35;35;ESCUDO SPORTING;SPORTING;ESCUDOS;Nuevos I
36;36;ENTRENADOR SPORTING- Abelardo Fernández;SPORTING;ENTRENADORES;Nuevos I
37;37;ESCUDO VALENCIA;VALENCIA CF;ESCUDOS;Nuevos I
38;38;ENTRENADOR VALENCIA - Pako Ayestarán;VALENCIA CF;ENTRENADORES;Nuevos I
39;39;ESCUDO VILLARREAL;VILLARREAL CF;ESCUDOS;Nuevos I
40;40;ENTRENADOR VILLARREAL - Marcelino García;VILLARREAL CF;ENTRENADORES;Nuevos I
41;1;Fernando Pacheco;ALAVÉS;BASE;Nuevos I
42;2;Ortolà;ALAVÉS;BASE;Nuevos II
43;3;Carpio;ALAVÉS;BASE;Nuevos I
44;4;Laguardia;ALAVÉS;BASE;Nuevos I
45;5;Feddal;ALAVÉS;BASE;Nuevos II
46;6;Alexis;ALAVÉS;BASE;Nuevos III
47;7;Raúl García;ALAVÉS;BASE;Nuevos I
48;8;Daniel Torres;ALAVÉS;BASE;Nuevos II
49;9;Manu García;ALAVÉS;BASE;Nuevos I
50;10;Christian Santos;ALAVÉS;BASE;Nuevos II
